date,country,cases,deaths
2020-01-22,Afghanistan,0,0
2020-01-23,Afghanistan,0,0
2020-01-24,Afghanistan,0,0
2020-01-25,Afghanistan,0,0
2020-01-26,Afghanistan,0,0
2020-01-27,Afghanistan,0,0
2020-01-28,Afghanistan,0,0
2020-01-29,Afghanistan,0,0
2020-01-30,Afghanistan,0,0
2020-01-31,Afghanistan,0,0
2020-02-01,Afghanistan,0,0
2020-02-02,Afghanistan,0,0
2020-02-03,Afghanistan,0,0
2020-02-04,Afghanistan,0,0
2020-02-05,Afghanistan,0,0
2020-02-06,Afghanistan,0,0
2020-02-07,Afghanistan,0,0
2020-02-08,Afghanistan,0,0
2020-02-09,Afghanistan,0,0
2020-02-10,Afghanistan,0,0
2020-02-11,Afghanistan,0,0
2020-02-12,Afghanistan,0,0
2020-02-13,Afghanistan,0,0
2020-02-14,Afghanistan,0,0
2020-02-15,Afghanistan,0,0
2020-02-16,Afghanistan,0,0
2020-02-17,Afghanistan,0,0
2020-02-18,Afghanistan,0,0
2020-02-19,Afghanistan,0,0
2020-02-20,Afghanistan,0,0
2020-02-21,Afghanistan,0,0
2020-02-22,Afghanistan,0,0
2020-02-23,Afghanistan,0,0
2020-02-24,Afghanistan,1,0
2020-02-25,Afghanistan,1,0
2020-02-26,Afghanistan,1,0
2020-02-27,Afghanistan,1,0
2020-02-28,Afghanistan,1,0
2020-02-29,Afghanistan,1,0
2020-03-01,Afghanistan,1,0
2020-03-02,Afghanistan,1,0
2020-03-03,Afghanistan,1,0
2020-03-04,Afghanistan,1,0
2020-03-05,Afghanistan,1,0
2020-03-06,Afghanistan,1,0
2020-03-07,Afghanistan,1,0
2020-03-08,Afghanistan,4,0
2020-03-09,Afghanistan,4,0
2020-03-10,Afghanistan,5,0
2020-03-11,Afghanistan,7,0
2020-03-12,Afghanistan,7,0
2020-03-13,Afghanistan,7,0
2020-03-14,Afghanistan,11,0
2020-03-15,Afghanistan,16,0
2020-03-16,Afghanistan,21,0
2020-03-17,Afghanistan,22,0
2020-03-18,Afghanistan,22,0
2020-03-19,Afghanistan,22,0
2020-03-20,Afghanistan,24,0
2020-03-21,Afghanistan,24,0
2020-03-22,Afghanistan,40,1
2020-03-23,Afghanistan,40,1
2020-03-24,Afghanistan,74,1
2020-03-25,Afghanistan,84,2
2020-03-26,Afghanistan,94,4
2020-03-27,Afghanistan,110,4
2020-03-28,Afghanistan,110,4
2020-03-29,Afghanistan,120,4
2020-03-30,Afghanistan,170,4
2020-03-31,Afghanistan,174,4
2020-04-01,Afghanistan,237,4
2020-04-02,Afghanistan,273,6
2020-04-03,Afghanistan,281,6
2020-04-04,Afghanistan,299,7
2020-04-05,Afghanistan,349,7
2020-04-06,Afghanistan,367,11
2020-04-07,Afghanistan,423,14
2020-04-08,Afghanistan,444,14
2020-04-09,Afghanistan,484,15
2020-04-10,Afghanistan,521,15
2020-04-11,Afghanistan,555,18
2020-04-12,Afghanistan,607,18
2020-04-13,Afghanistan,665,21
2020-04-14,Afghanistan,714,23
2020-04-15,Afghanistan,784,25
2020-04-16,Afghanistan,840,30
2020-04-17,Afghanistan,906,30
2020-04-18,Afghanistan,933,30
2020-04-19,Afghanistan,996,33
2020-04-20,Afghanistan,1026,36
2020-04-21,Afghanistan,1092,36
2020-04-22,Afghanistan,1176,40
2020-04-23,Afghanistan,1279,42
2020-04-24,Afghanistan,1351,43
2020-04-25,Afghanistan,1463,47
2020-04-26,Afghanistan,1531,50
2020-04-27,Afghanistan,1703,57
2020-04-28,Afghanistan,1828,58
2020-04-29,Afghanistan,1939,60
2020-04-30,Afghanistan,2171,64
2020-05-01,Afghanistan,2335,68
2020-05-02,Afghanistan,2469,72
2020-05-03,Afghanistan,2704,85
2020-05-04,Afghanistan,2894,90
2020-05-05,Afghanistan,3224,95
2020-05-06,Afghanistan,3392,104
2020-05-07,Afghanistan,3563,106
2020-05-08,Afghanistan,3778,109
2020-05-09,Afghanistan,4033,115
2020-05-10,Afghanistan,4402,120
2020-05-11,Afghanistan,4687,122
2020-05-12,Afghanistan,4963,127
2020-05-13,Afghanistan,5226,132
2020-05-14,Afghanistan,5639,136
2020-01-22,Albania,0,0
2020-01-23,Albania,0,0
2020-01-24,Albania,0,0
2020-01-25,Albania,0,0
2020-01-26,Albania,0,0
2020-01-27,Albania,0,0
2020-01-28,Albania,0,0
2020-01-29,Albania,0,0
2020-01-30,Albania,0,0
2020-01-31,Albania,0,0
2020-02-01,Albania,0,0
2020-02-02,Albania,0,0
2020-02-03,Albania,0,0
2020-02-04,Albania,0,0
2020-02-05,Albania,0,0
2020-02-06,Albania,0,0
2020-02-07,Albania,0,0
2020-02-08,Albania,0,0
2020-02-09,Albania,0,0
2020-02-10,Albania,0,0
2020-02-11,Albania,0,0
2020-02-12,Albania,0,0
2020-02-13,Albania,0,0
2020-02-14,Albania,0,0
2020-02-15,Albania,0,0
2020-02-16,Albania,0,0
2020-02-17,Albania,0,0
2020-02-18,Albania,0,0
2020-02-19,Albania,0,0
2020-02-20,Albania,0,0
2020-02-21,Albania,0,0
2020-02-22,Albania,0,0
2020-02-23,Albania,0,0
2020-02-24,Albania,0,0
2020-02-25,Albania,0,0
2020-02-26,Albania,0,0
2020-02-27,Albania,0,0
2020-02-28,Albania,0,0
2020-02-29,Albania,0,0
2020-03-01,Albania,0,0
2020-03-02,Albania,0,0
2020-03-03,Albania,0,0
2020-03-04,Albania,0,0
2020-03-05,Albania,0,0
2020-03-06,Albania,0,0
2020-03-07,Albania,0,0
2020-03-08,Albania,0,0
2020-03-09,Albania,2,0
2020-03-10,Albania,10,0
2020-03-11,Albania,12,1
2020-03-12,Albania,23,1
2020-03-13,Albania,33,1
2020-03-14,Albania,38,1
2020-03-15,Albania,42,1
2020-03-16,Albania,51,1
2020-03-17,Albania,55,1
2020-03-18,Albania,59,2
2020-03-19,Albania,64,2
2020-03-20,Albania,70,2
2020-03-21,Albania,76,2
2020-03-22,Albania,89,2
2020-03-23,Albania,104,4
2020-03-24,Albania,123,5
2020-03-25,Albania,146,5
2020-03-26,Albania,174,6
2020-03-27,Albania,186,8
2020-03-28,Albania,197,10
2020-03-29,Albania,212,10
2020-03-30,Albania,223,11
2020-03-31,Albania,243,15
2020-04-01,Albania,259,15
2020-04-02,Albania,277,16
2020-04-03,Albania,304,17
2020-04-04,Albania,333,20
2020-04-05,Albania,361,20
2020-04-06,Albania,377,21
2020-04-07,Albania,383,22
2020-04-08,Albania,400,22
2020-04-09,Albania,409,23
2020-04-10,Albania,416,23
2020-04-11,Albania,433,23
2020-04-12,Albania,446,23
2020-04-13,Albania,467,23
2020-04-14,Albania,475,24
2020-04-15,Albania,494,25
2020-04-16,Albania,518,26
2020-04-17,Albania,539,26
2020-04-18,Albania,548,26
2020-04-19,Albania,562,26
2020-04-20,Albania,584,26
2020-04-21,Albania,609,26
2020-04-22,Albania,634,27
2020-04-23,Albania,663,27
2020-04-24,Albania,678,27
2020-04-25,Albania,712,27
2020-04-26,Albania,726,28
2020-04-27,Albania,736,28
2020-04-28,Albania,750,30
2020-04-29,Albania,766,30
2020-04-30,Albania,773,31
2020-05-01,Albania,782,31
2020-05-02,Albania,789,31
2020-05-03,Albania,795,31
2020-05-04,Albania,803,31
2020-05-05,Albania,820,31
2020-05-06,Albania,832,31
2020-05-07,Albania,842,31
2020-05-08,Albania,850,31
2020-05-09,Albania,856,31
2020-05-10,Albania,868,31
